n_estimators,test_accuracy,test_precision,test_recall,train_accuracy,train_precision,train_recall,cv_accuracy,prediction_time_seconds,avg_prediction_time_per_sample,avg_feature_extraction_time_per_sample,avg_classifier_prediction_time_per_sample,avg_residual_generation_time_per_sample
1,0.8,0.8033078840130022,0.8,0.7976917854718262,0.8000843323403667,0.7976917854718262,0.7811354842940521,1.2116930369101602,0.0010965547845340816,2.1101662476138293e-06,1.3532681702488688e-06,0.0010930913501162188
5,0.8941176470588236,0.8949459473576613,0.8941176470588236,0.8981670061099797,0.8996200058966872,0.8981670061099797,0.8899355695455439,1.2122697714530069,0.0010970767162470651,2.0029318278731265e-06,1.9824343029729922e-06,0.0010930913501162188
10,0.9221719457013575,0.9228132725939602,0.9221719457013575,0.9176284227200724,0.9183850756512686,0.9176284227200724,0.9096662076201717,1.2132902029715615,0.001098000183684671,2.0812539493336395e-06,2.827579619118531e-06,0.0010930913501162188
15,0.9248868778280543,0.9266227196957222,0.9248868778280543,0.9241909934374293,0.9246342646858675,0.9241909934374293,0.9201672240802676,1.2140440825186807,0.0010986824276187155,1.989122968993036e-06,3.6019545335036057e-06,0.0010930913501162188
20,0.9230769230769231,0.9247765496446583,0.9230769230769231,0.9228332201855624,0.9235893888402847,0.9228332201855624,0.9230631516820775,1.2147858027182656,0.00109935366761834,2.013072708613193e-06,4.249244793507848e-06,0.0010930913501162188
25,0.930316742081448,0.9326221818658826,0.930316742081448,0.9287169042769857,0.929803794069023,0.9287169042769857,0.9237881172535903,1.2157871607504922,0.0011002598739823458,2.051262833953443e-06,5.117261032173536e-06,0.0010930913501162188
50,0.930316742081448,0.9311234608225594,0.930316742081448,0.9366372482462095,0.9371283637581919,0.9366372482462095,0.9214340284608827,1.2198800924979287,0.0011039638846135102,2.0566569194534784e-06,8.815877577837776e-06,0.0010930913501162188
100,0.9357466063348416,0.9369341198794925,0.9357466063348416,0.9443312966734555,0.9449137776061849,0.9443312966734555,0.9261418781559447,1.2283592108450967,0.0011116372948824405,2.0965731521537403e-06,1.6449371614067803e-05,0.0010930913501162188
150,0.9339366515837104,0.9347228487134165,0.9339366515837104,0.9416157501697217,0.9418986145089813,0.9416157501697217,0.9254178962554922,1.2368209246359902,0.0011192949544217106,2.048026382653422e-06,2.4155577922838307e-05,0.0010930913501162188
200,0.9366515837104072,0.9376145699736488,0.9366515837104072,0.947499434261145,0.9477827918540463,0.947499434261145,0.9299432749688504,1.245066869612797,0.0011267573480658794,2.0987307863537544e-06,3.1567267163306876e-05,0.0010930913501162188
250,0.9321266968325792,0.9333327116398545,0.9321266968325792,0.9461416610092781,0.9465018246608002,0.9461416610092781,0.9312105711849957,1.2527663592063027,0.0011337252119514051,1.9981850326330954e-06,3.86356768025532e-05,0.0010930913501162188
300,0.9321266968325792,0.9335388715721865,0.9321266968325792,0.9463679565512559,0.9467508220252261,0.9463679565512559,0.9286764705882353,1.2612731341086465,0.0011414236507770556,2.022997825933258e-06,4.6309302834903496e-05,0.0010930913501162188
350,0.9357466063348416,0.9370442515188633,0.9357466063348416,0.9493097985969676,0.9496087357275755,0.9493097985969676,0.9290389533739918,1.2698950651846963,0.0011492263033345668,2.029254965113299e-06,5.410569825323459e-05,0.0010930913501162188
