position_loss,velocity_loss,steering_loss,acceleration_loss,object_distance_loss,traffic_light_detected_loss,total_loss
312.96568366156686,332.1353931003147,147.50540419684515,220.13461659749348,0.14547647999392616,0.558192327287462,1013.4447489420573
56.89754867553711,75.18657396104601,22.200855170355904,59.1865726047092,0.13838310125801298,0.5234044326676263,214.13333808051215
53.30125537448459,70.2247314453125,17.63705079820421,55.0683714972602,0.125975025859144,0.5200925436284807,196.87747497558593
52.18017298380534,67.17670432196724,13.105952994028728,53.48256929185656,0.12137893736362457,0.5069758514563243,186.5737555609809
51.43389375474718,64.91472507052951,10.003720506032307,52.47575988769531,0.12251349654462602,0.48984836273723176,179.44046088324652
51.11356421576606,63.82774709065755,9.117607879638673,51.85935516357422,0.11293865359491773,0.4657565706306034,176.4969685872396
51.11852094862196,63.48573226928711,8.826980516645644,51.39440231323242,0.11028292328119278,0.46494756672117443,175.40086669921874
51.02873891194661,63.30210206773546,8.872716045379638,51.089411926269534,0.10813370048999786,0.511177005370458,174.9122819688585
50.938608720567494,63.23704579671224,8.656342771318224,50.87171401977539,0.09881921062866847,0.40466499924659727,174.20719333224827
50.63159713745117,62.98038330078125,8.600260750452678,50.63600260416667,0.0884530019428995,0.3752224902311961,173.31191880967882
49.584187571207686,63.00972179836697,8.586159246497685,50.444617377387154,0.0851704572637876,0.34637543360392253,172.05623202853732
45.378875732421875,62.965170542399086,7.891599014070299,50.37932256062825,0.08324036018715965,0.34880322681532966,167.04701131184896
38.71461461385091,61.849856821695965,5.984644870625602,50.31590279473199,0.08666736086209616,0.34114757577578225,157.29283379448785
32.05561252170139,55.611375427246095,-1.159581145975325,48.65895173814562,0.08841772658957375,0.3266336364878549,135.58141038682726
16.340351063013077,42.01995540195041,-10.452072461777263,39.148364003499346,0.07622805792424414,0.27318401601579456,87.40600984361437
-1.343757020475136,31.146472803751628,-13.7933819770813,35.01934687296549,0.07881524943643146,0.28625687460104626,51.39375300937229
-10.856959830390082,20.770051511128745,-16.669269794887967,32.56489401923285,0.06755740410751766,0.23214688003063202,26.1084200753106
-20.434302669101292,10.702158145109813,-18.743219566345214,30.166580115424264,0.0618305165734556,0.20373846921655867,1.956784983476003
-25.165667046440973,1.6931284755468368,-21.26348533630371,28.040278964572483,0.05932255817784204,0.18395636992322073,-16.45246595541636
-29.720233662923178,-3.8137937605381014,-23.118797047932944,25.945691087510852,0.05640884041786194,0.19055431683858234,-30.460170364379884
-33.30655140346951,-9.11911768913269,-24.6283637576633,24.75614162021213,0.05071367364790705,0.1606367321477996,-42.086540349324544
-37.04902280171712,-14.094131596883138,-25.63737301296658,23.053876537746852,0.04860104595621427,0.13661516358455023,-53.54143422444661
-40.31375401814778,-17.377715852525498,-25.927758026123048,20.917905192905003,0.047529333415958615,0.11919877578814825,-62.53459464179145
-40.59635798136393,-19.422875086466473,-26.901708602905273,20.46527222527398,0.04761774581339624,0.11551672849390242,-66.29253514607747
-43.190238867865666,-21.446240870157876,-27.85798734029134,18.72802619934082,0.0459831955946154,0.11285694705115425,-73.60760158962674
-45.149739837646486,-24.475057559543185,-28.85954106648763,17.23613378736708,0.04313667991922961,0.10736729370223151,-81.09769999186197
-45.982428063286676,-25.613047875298395,-29.010745281643338,18.705566512213814,0.04480685115688377,0.10741197152270211,-81.7484354654948
-48.23934165106879,-27.952006255255807,-29.348471917046442,16.68270901574029,0.04017838065822919,0.10221545928054386,-88.71471727159289
-49.730897691514755,-29.092918989393446,-29.533842086791992,15.622095934549968,0.039420582892166246,0.0908301623331176,-92.60531226264106
-49.61603469848633,-30.798566224839952,-30.315112770928277,14.160711818271214,0.03747756758497821,0.0883217244512505,-96.44320271809896
-51.45562744140625,-32.49843139648438,-30.16649737887912,11.835263559553358,0.035372400614950394,0.07987827046049965,-102.1700412326389
-52.28553161621094,-33.25400975545247,-30.370650058322482,12.028525596194797,0.035926245028773944,0.07865984323951933,-103.76707950168186
-52.59759004380968,-33.88109792073568,-31.38904071384006,11.01126511891683,0.035597991115517084,0.07741627817352613,-106.74345008002388
-53.686531490749786,-35.36804122924805,-31.964892959594728,10.368767113155789,0.03352853254311615,0.08051029253337118,-110.53666042751736
-54.401358879937064,-34.5430492401123,-31.81505800882975,9.649611028035482,0.03466879021790292,0.07392755390869246,-111.00125800238715
-55.19124967787001,-37.263713921440974,-32.23830685085721,8.394021638234456,0.032502611560953985,0.07190648052427503,-116.19484049479166
-55.028118981255425,-37.590355682373044,-32.37881999545627,8.968507586585151,0.04250860210094187,0.08230953042705853,-115.90396931966146
-56.64691535101996,-38.14853731791178,-33.2382319132487,7.410111591551039,0.03331627688474125,0.06914436767498652,-120.52111307779948
-56.555594041612416,-38.80601823594835,-32.57184689839681,6.856233632564544,0.030318390453855197,0.06542271367377706,-120.98148328993055
-56.826812744140625,-38.183073891533745,-33.00584530300564,10.211568948957655,0.03645062819123268,0.07733181623948945,-117.6903805202908
-58.189591810438365,-40.12693481445312,-33.13414594862196,7.684709323777093,0.03357609647015731,0.06557358925541242,-123.66681399875218
-59.08255394829644,-40.894197167290585,-32.85927547878689,5.642842123243544,0.030204382042090097,0.05827080913715892,-127.1047090318468
-59.21482094658746,-42.19747984144423,-33.91961809794108,4.364552667737007,0.028248234589894613,0.05583358456691106,-130.88328382703992
-58.713575744628905,-41.42596087985569,-33.788973829481336,3.712468044956525,0.02847711650861634,0.056604987962378395,-130.1309611002604
-59.46109364827474,-42.560648091634114,-34.061073515150284,4.02834565838178,0.028325259933869043,0.05337371710273955,-131.97277018229167
-59.081768120659724,-43.40099470350477,-34.32604688008626,2.448482774032487,0.027798008256488375,0.05571146657069524,-134.27681918674045
-59.23839145236545,-43.19179899427626,-33.742822562323674,4.054142155249914,0.02712576559020413,0.055364093018902674,-132.03637915717232
-60.40952801174588,-45.147941758897566,-34.02919595506456,3.00428379409843,0.03040968817141321,0.05786431464884016,-136.49410925971137
-60.84900631374783,-44.681553310818146,-34.82109972635905,2.7940147750079634,0.025548720525370702,0.05709201229943169,-137.47500474717882
-59.360912492540145,-44.30456653171115,-34.04575492011176,0.8579280401269594,0.024364743505915006,0.06899636255370246,-136.75994737413194
-59.152184295654294,-45.171532270643446,-34.62602021959093,0.7853715520766046,0.023777076063884628,0.0572663592795531,-138.0833229912652
-62.77475509643555,-45.915665266248915,-34.71391245524089,0.47682411529951624,0.024242305176125634,0.049932294628686376,-142.85333319769964
-61.77654113769531,-47.18679436577691,-34.35278837415907,-0.8298265854517619,0.023756043654349114,0.04810852052436935,-144.07408684624565
-58.7100816514757,-44.44779035780165,-34.38453509012858,1.3009192748202218,0.030887859645817015,0.06957968696951866,-136.14102037217882
-60.826318698459204,-46.208349609375,-34.1980650583903,-0.4215099894338184,0.02420103740361002,0.0512807995494869,-141.5787612915039
