n_estimators,test_accuracy,test_precision,test_recall,train_accuracy,train_precision,train_recall,cv_accuracy,prediction_time_seconds,avg_prediction_time_per_sample,avg_feature_extraction_time_per_sample,avg_classifier_prediction_time_per_sample,avg_residual_generation_time_per_sample
1,0.8108597285067873,0.829887447373498,0.8108597285067873,0.842724598325413,0.8574247976877042,0.842724598325413,0.8528224801626336,1.189211637019075,0.0010762096262616064,3.0036425698396846e-06,1.364272104668941e-06,0.0010718417115870979
5,0.8868778280542986,0.8933732813643905,0.8868778280542986,0.9131025118805159,0.9170407465680539,0.9131025118805159,0.9042368352023085,1.189716369151033,0.0010766663974217494,3.155108490680677e-06,1.6695773439709417e-06,0.0010718417115870979
10,0.9049773755656109,0.9152264394758081,0.9049773755656109,0.9244172889794071,0.9289620441890308,0.9244172889794071,0.9160012131943077,1.189474374293245,0.001076447397550448,1.986533807953019e-06,2.619152155397165e-06,0.0010718417115870979
15,0.9095022624434389,0.9183511947210486,0.9095022624434389,0.9280380176510523,0.9321011443105206,0.9280380176510523,0.9156387304085513,1.1898441615094315,0.00107678204661487,1.967115100152892e-06,2.9732199276194853e-06,0.0010718417115870979
20,0.9104072398190045,0.920365291151707,0.9104072398190045,0.9312061552387418,0.9353959557152977,0.9312061552387418,0.9185356416814218,1.190772801875032,0.0010776224451357755,1.898502332592442e-06,3.882231216085442e-06,0.0010718417115870979
25,0.9140271493212669,0.9227302338714156,0.9140271493212669,0.9318850418646752,0.9364842141403391,0.9318850418646752,0.921975867269985,1.1915560069073807,0.0010783312279704802,1.97143036855292e-06,4.51808601482961e-06,0.0010718417115870979
50,0.9167420814479638,0.9249110799266543,0.9167420814479638,0.9300746775288526,0.9345175681041453,0.9300746775288526,0.9219763591055152,1.1952038111676346,0.001081632408296502,1.8326944894920108e-06,7.958002219912153e-06,0.0010718417115870979
100,0.918552036199095,0.927219864162518,0.918552036199095,0.9346005883684091,0.9390043540249681,0.9346005883684091,0.9250544297986754,1.203035861491121,0.0010887202366435483,1.983944646913002e-06,1.4894580409537613e-05,0.0010718417115870979
150,0.9194570135746606,0.9283328078317257,0.9194570135746606,0.9366372482462095,0.941228547547028,0.9366372482462095,0.9248731064332087,1.2112441363324296,0.0010961485396673572,1.9425180702727304e-06,2.2364310009986565e-05,0.0010718417115870979
200,0.9212669683257918,0.9306859001737015,0.9212669683257918,0.9350531794523648,0.9395039181839837,0.9350531794523648,0.9237868056921765,1.2200908961285721,0.0011041546571299295,1.8866353444923643e-06,3.0426310198339403e-05,0.0010718417115870979
250,0.918552036199095,0.9287106910486156,0.918552036199095,0.9346005883684091,0.9392341855710641,0.9346005883684091,0.9241486326972261,1.226750403880037,0.001110181360977409,1.940791962912719e-06,3.6398857427398545e-05,0.0010718417115870979
300,0.9176470588235294,0.9280574753790178,0.9176470588235294,0.9341479972844535,0.9387863112805017,0.9341479972844535,0.9250537740179684,1.2355852427472245,0.0011181766902689813,1.8523289607121394e-06,4.448264972117152e-05,0.0010718417115870979
350,0.9176470588235294,0.927617888180008,0.9176470588235294,0.9318850418646752,0.936817770194015,0.9318850418646752,0.925235097383435,1.243279010294832,0.001125139375832427,1.848445219152114e-06,5.1449219026177174e-05,0.0010718417115870979
